postal_code,Years,useful,funny,cool,Price,stars_1,stars_2,stars_3,stars_4,stars_5,stars,reviews_perc,prev_stars,stars_perc,Perc_Change_tminus1,Per_Change_t,Perc_Change_tplus1
15144,2011,0.5,0,0.4,1.666666667,0,0,0.1,0.5,0.4,4.3,0.000856971,5,-0.14,0.007936508,0.007874016,-0.046875
15144,2012,0.785714286,0.071428571,0.285714286,1.875,0.214285714,0,0.142857143,0.214285714,0.428571429,3.642857143,0.000837421,4.3,-0.15282392,0.007874016,-0.046875,0.016393443
15144,2013,0.913043478,0.043478261,0.173913043,1.833333333,0,0.043478261,0.043478261,0.434782609,0.47826087,4.347826087,0.001092844,3.642857143,0.193520887,-0.046875,0.016393443,0.072580645
15144,2014,0.607142857,0.071428571,0.392857143,1.875,0.071428571,0.035714286,0.035714286,0.214285714,0.642857143,4.321428571,0.000971784,4.347826087,-0.006071429,0.016393443,0.072580645,0.045112782
15144,2015,0.333333333,0.088888889,0.111111111,1.9,0.044444444,0.066666667,0.022222222,0.222222222,0.644444444,4.355555556,0.001156456,4.321428571,0.007897153,0.072580645,0.045112782,0.007194245
15144,2016,0.413043478,0.086956522,0.260869565,1.75,0.043478261,0.043478261,0.043478261,0.195652174,0.673913043,4.413043478,0.001046311,4.355555556,0.013198758,0.045112782,0.007194245,0.014285714
15144,2017,0,0,0,1.75,0.166666667,0.166666667,0.166666667,0.166666667,0.333333333,3.333333333,0.002401922,4.413043478,-0.244663383,0.007194245,0.014285714,-1
15145,2011,0,2,0,1,1,0,0,0,0,1,8.57E-05,,-0.7,-0.113636364,-0.025641026,-0.026315789
15145,2013,1.125,0.25,0.125,2,0.25,0,0,0.25,0.5,3.75,0.00038012,,2.75,-0.026315789,0,0.027027027
15145,2014,0.375,0.125,0.1875,1.875,0.0625,0,0.0625,0.1875,0.6875,4.4375,0.000555305,3.75,0.183333333,0,0.027027027,0
15145,2015,0.8,0.222222222,0.355555556,1.818181818,0.177777778,0.066666667,0.133333333,0.222222222,0.4,3.6,0.001156456,4.4375,-0.188732394,0.027027027,0,0.092105263
15145,2016,0.609756098,0.146341463,0.170731707,1.909090909,0.243902439,0.024390244,0.048780488,0.268292683,0.414634146,3.585365854,0.000932581,3.6,-0.004065041,0,0.092105263,0.072289157
15146,2006,0.5,0.5,0.5,2,0,0,0,1,0,4,0.008733624,,0.115646259,0.018404908,0.054216867,0.028571429
15146,2007,1.454545455,0.636363636,0.636363636,1.75,0.090909091,0,0.181818182,0.454545455,0.272727273,3.818181818,0.012971698,4,-0.045454545,0.054216867,0.028571429,-0.011111111
15146,2008,1.37037037,0.481481481,0.62962963,1.666666667,0.037037037,0.037037037,0.185185185,0.481481481,0.259259259,3.888888889,0.014323607,3.818181818,0.018518519,0.028571429,-0.011111111,-0.04494382
